		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR	QUALITY
121	01:00:00	5,28e+03	8,00	100,00	140,46	0,90	0,78	0,04	0,00
122	01:00:00	5,28e+03	6,00	100,00	59,54	0,68	0,65	0,05	0,00
9	01:00:00	0,00	0,00	1,00	1,85e+03	0,00	-206,77	0,00	0,00
10	02:00:00	1,05e+04	18,00	100,00	1,84e+03	2,32	1,76	0,03	0,00
11	02:00:00	5,28e+03	14,00	100,00	1,16e+03	2,43	2,58	0,03	0,00
12	02:00:00	5,28e+03	10,00	100,00	172,96	0,71	0,39	0,04	0,00
21	02:00:00	5,28e+03	10,00	100,00	150,84	0,62	0,30	0,04	0,00
22	02:00:00	5,28e+03	12,00	100,00	127,04	0,36	0,09	0,04	0,00
31	02:00:00	5,28e+03	6,00	100,00	42,22	0,48	0,34	0,05	0,00
110	02:00:00	200,00	18,00	100,00	517,46	0,65	0,17	0,04	0,00
111	02:00:00	5,28e+03	10,00	100,00	493,06	2,01	2,70	0,04	0,00
112	02:00:00	5,28e+03	12,00	100,00	293,98	0,83	0,43	0,04	0,00
113	02:00:00	5,28e+03	8,00	100,00	52,96	0,34	0,13	0,05	0,00
121	02:00:00	5,28e+03	8,00	100,00	162,22	1,04	1,02	0,04	0,00
122	02:00:00	5,28e+03	6,00	100,00	77,78	0,88	1,06	0,04	0,00
9	02:00:00	0,00	0,00	1,00	1,84e+03	0,00	-208,29	0,00	0,00
10	03:00:00	1,05e+04	18,00	100,00	1,83e+03	2,30	1,74	0,03	0,00
11	03:00:00	5,28e+03	14,00	100,00	1,15e+03	2,41	2,54	0,03	0,00
12	03:00:00	5,28e+03	10,00	100,00	173,49	0,71	0,39	0,04	0,00
21	03:00:00	5,28e+03	10,00	100,00	148,51	0,61	0,29	0,04	0,00
22	03:00:00	5,28e+03	12,00	100,00	126,51	0,36	0,09	0,04	0,00
31	03:00:00	5,28e+03	6,00	100,00	42,05	0,48	0,34	0,05	0,00
110	03:00:00	200,00	18,00	100,00	505,38	0,64	0,16	0,04	0,00
111	03:00:00	5,28e+03	10,00	100,00	490,57	2,00	2,68	0,04	0,00
112	03:00:00	5,28e+03	12,00	100,00	295,94	0,84	0,43	0,04	0,00
113	03:00:00	5,28e+03	8,00	100,00	53,49	0,34	0,13	0,05	0,00
121	03:00:00	5,28e+03	8,00	100,00	162,05	1,03	1,02	0,04	0,00
122	03:00:00	5,28e+03	6,00	100,00	77,95	0,88	1,07	0,04	0,00
9	03:00:00	0,00	0,00	1,00	1,83e+03	0,00	-209,92	0,00	0,00
10	04:00:00	1,05e+04	18,00	100,00	1,82e+03	2,29	1,73	0,03	0,00
11	04:00:00	5,28e+03	14,00	100,00	1,10e+03	2,29	2,32	0,03	0,00
12	04:00:00	5,28e+03	10,00	100,00	215,82	0,88	0,59	0,04	0,00
21	04:00:00	5,28e+03	10,00	100,00	114,27	0,47	0,18	0,04	0,00
22	04:00:00	5,28e+03	12,00	100,00	134,18	0,38	0,10	0,04	0,00
31	04:00:00	5,28e+03	6,00	100,00	45,52	0,52	0,39	0,05	0,00
110	04:00:00	200,00	18,00	100,00	279,86	0,35	0,05	0,04	0,00
111	04:00:00	5,28e+03	10,00	100,00	509,79	2,08	2,88	0,04	0,00
112	04:00:00	5,28e+03	12,00	100,00	394,39	1,12	0,74	0,04	0,00
113	04:00:00	5,28e+03	8,00	100,00	75,82	0,48	0,25	0,05	0,00
121	04:00:00	5,28e+03	8,00	100,00	185,52	1,18	1,31	0,04	0,00
122	04:00:00	5,28e+03	6,00	100,00	94,48	1,07	1,53	0,04	0,00
9	04:00:00	0,00	0,00	1,00	1,82e+03	0,00	-210,67	0,00	0,00
10	05:00:00	1,05e+04	18,00	100,00	1,81e+03	2,29	1,72	0,03	0,00
11	05:00:00	5,28e+03	14,00	100,00	1,09e+03	2,28	2,30	0,03	0,00
12	05:00:00	5,28e+03	10,00	100,00	216,10	0,88	0,59	0,04	0,00
21	05:00:00	5,28e+03	10,00	100,00	113,03	0,46	0,18	0,04	0,00
22	05:00:00	5,28e+03	12,00	100,00	133,90	0,38	0,10	0,04	0,00
31	05:00:00	5,28e+03	6,00	100,00	45,46	0,52	0,39	0,05	0,00
110	05:00:00	200,00	18,00	100,00	273,25	0,34	0,05	0,04	0,00
111	05:00:00	5,28e+03	10,00	100,00	508,49	2,08	2,86	0,04	0,00
112	05:00:00	5,28e+03	12,00	100,00	395,40	1,12	0,74	0,04	0,00
113	05:00:00	5,28e+03	8,00	100,00	76,10	0,49	0,25	0,05	0,00
121	05:00:00	5,28e+03	8,00	100,00	185,46	1,18	1,31	0,04	0,00
122	05:00:00	5,28e+03	6,00	100,00	94,54	1,07	1,53	0,04	0,00
9	05:00:00	0,00	0,00	1,00	1,81e+03	0,00	-211,56	0,00	0,00
10	06:00:00	1,05e+04	18,00	100,00	1,81e+03	2,29	1,72	0,03	0,00
11	06:00:00	5,28e+03	14,00	100,00	1,04e+03	2,17	2,10	0,03	0,00
12	06:00:00	5,28e+03	10,00	100,00	257,81	1,05	0,81	0,04	0,00
21	06:00:00	5,28e+03	10,00	100,00	81,35	0,33	0,10	0,05	0,00
22	06:00:00	5,28e+03	12,00	100,00	142,19	0,40	0,11	0,04	0,00
31	06:00:00	5,28e+03	6,00	100,00	49,99	0,57	0,47	0,05	0,00
110	06:00:00	200,00	18,00	100,00	53,13	0,07	2,49e-03	0,05	0,00
111	06:00:00	5,28e+03	10,00	100,00	531,34	2,17	3,10	0,04	0,00
112	06:00:00	5,28e+03	12,00	100,00	490,85	1,39	1,10	0,04	0,00
113	06:00:00	5,28e+03	8,00	100,00	97,81	0,62	0,40	0,04	0,00
121	06:00:00	5,28e+03	8,00	100,00	209,99	1,34	1,65	0,04	0,00
122	06:00:00	5,28e+03	6,00	100,00	110,01	1,25	2,02	0,04	0,00
9	06:00:00	0,00	0,00	1,00	1,81e+03	0,00	-211,58	0,00	0,00
10	07:00:00	1,05e+04	18,00	100,00	1,81e+03	2,28	1,72	0,03	0,00
11	07:00:00	5,28e+03	14,00	100,00	1,04e+03	2,17	2,09	0,03	0,00
12	07:00:00	5,28e+03	10,00	100,00	257,86	1,05	0,81	0,04	0,00
21	07:00:00	5,28e+03	10,00	100,00	81,13	0,33	0,10	0,05	0,00
22	07:00:00	5,28e+03	12,00	100,00	142,14	0,40	0,11	0,04	0,00
31	07:00:00	5,28e+03	6,00	100,00	49,98	0,57	0,47	0,05	0,00
110	07:00:00	200,00	18,00	100,00	51,87	0,07	2,38e-03	0,05	0,00
111	07:00:00	5,28e+03	10,00	100,00	531,11	2,17	3,10	0,04	0,00
112	07:00:00	5,28e+03	12,00	100,00	491,04	1,39	1,10	0,04	0,00
113	07:00:00	5,28e+03	8,00	100,00	97,86	0,62	0,40	0,04	0,00
121	07:00:00	5,28e+03	8,00	100,00	209,98	1,34	1,65	0,04	0,00
122	07:00:00	5,28e+03	6,00	100,00	110,02	1,25	2,02	0,04	0,00
9	07:00:00	0,00	0,00	1,00	1,81e+03	0,00	-211,75	0,00	0,00
10	08:00:00	1,05e+04	18,00	100,00	1,80e+03	2,27	1,71	0,03	0,00
11	08:00:00	5,28e+03	14,00	100,00	1,09e+03	2,27	2,27	0,03	0,00
12	08:00:00	5,28e+03	10,00	100,00	216,48	0,88	0,59	0,04	0,00
21	08:00:00	5,28e+03	10,00	100,00	111,35	0,45	0,17	0,04	0,00
22	08:00:00	5,28e+03	12,00	100,00	133,52	0,38	0,10	0,04	0,00
31	08:00:00	5,28e+03	6,00	100,00	45,38	0,51	0,39	0,05	0,00
110	08:00:00	200,00	18,00	100,00	264,29	0,33	0,05	0,04	0,00
111	08:00:00	5,28e+03	10,00	100,00	506,73	2,07	2,84	0,04	0,00
112	08:00:00	5,28e+03	12,00	100,00	396,78	1,13	0,74	0,04	0,00
113	08:00:00	5,28e+03	8,00	100,00	76,48	0,49	0,25	0,05	0,00
121	08:00:00	5,28e+03	8,00	100,00	185,38	1,18	1,31	0,04	0,00
122	08:00:00	5,28e+03	6,00	100,00	94,62	1,07	1,53	0,04	0,00
9	08:00:00	0,00	0,00	1,00	1,80e+03	0,00	-212,76	0,00	0,00
10	09:00:00	1,05e+04	18,00	100,00	1,80e+03	2,27	1,69	0,03	0,00
11	09:00:00	5,28e+03	14,00	100,00	1,08e+03	2,26	2,25	0,03	0,00
12	09:00:00	5,28e+03	10,00	100,00	216,75	0,89	0,59	0,04	0,00
21	09:00:00	5,28e+03	10,00	100,00	110,17	0,45	0,17	0,04	0,00
22	09:00:00	5,28e+03	12,00	100,00	133,25	0,38	0,10	0,04	0,00
31	09:00:00	5,28e+03	6,00	100,00	45,33	0,51	0,39	0,05	0,00
110	09:00:00	200,00	18,00	100,00	258,00	0,33	0,05	0,04	0,00
111	09:00:00	5,28e+03	10,00	100,00	505,50	2,06	2,83	0,04	0,00
112	09:00:00	5,28e+03	12,00	100,00	397,75	1,13	0,75	0,04	0,00
113	09:00:00	5,28e+03	8,00	100,00	76,75	0,49	0,26	0,05	0,00
121	09:00:00	5,28e+03	8,00	100,00	185,33	1,18	1,31	0,04	0,00
122	09:00:00	5,28e+03	6,00	100,00	94,67	1,07	1,53	0,04	0,00
9	09:00:00	0,00	0,00	1,00	1,80e+03	0,00	-213,60	0,00	0,00
10	10:00:00	1,05e+04	18,00	100,00	1,79e+03	2,25	1,67	0,03	0,00
11	10:00:00	5,28e+03	14,00	100,00	1,12e+03	2,34	2,41	0,03	0,00
12	10:00:00	5,28e+03	10,00	100,00	175,24	0,72	0,40	0,04	0,00
21	10:00:00	5,28e+03	10,00	100,00	140,83	0,58	0,27	0,04	0,00
22	10:00:00	5,28e+03	12,00	100,00	124,76	0,35	0,09	0,04	0,00
31	10:00:00	5,28e+03	6,00	100,00	41,53	0,47	0,33	0,05	0,00
110	10:00:00	200,00	18,00	100,00	465,48	0,59	0,14	0,04	0,00
111	10:00:00	5,28e+03	10,00	100,00	482,35	1,97	2,60	0,04	0,00
112	10:00:00	5,28e+03	12,00	100,00	302,41	0,86	0,45	0,04	0,00
113	10:00:00	5,28e+03	8,00	100,00	55,24	0,35	0,14	0,05	0,00
121	10:00:00	5,28e+03	8,00	100,00	161,53	1,03	1,01	0,04	0,00
122	10:00:00	5,28e+03	6,00	100,00	78,47	0,89	1,08	0,04	0,00
9	10:00:00	0,00	0,00	1,00	1,79e+03	0,00	-215,26	0,00	0,00
10	11:00:00	1,05e+04	18,00	100,00	1,77e+03	2,24	1,65	0,03	0,00
11	11:00:00	5,28e+03	14,00	100,00	1,11e+03	2,32	2,38	0,03	0,00
12	11:00:00	5,28e+03	10,00	100,00	175,73	0,72	0,40	0,04	0,00
21	11:00:00	5,28e+03	10,00	100,00	138,68	0,57	0,26	0,04	0,00
22	11:00:00	5,28e+03	12,00	100,00	124,27	0,35	0,09	0,04	0,00
31	11:00:00	5,28e+03	6,00	100,00	41,38	0,47	0,33	0,05	0,00
110	11:00:00	200,00	18,00	100,00	454,30	0,57	0,13	0,04	0,00
111	11:00:00	5,28e+03	10,00	100,00	480,06	1,96	2,57	0,04	0,00
112	11:00:00	5,28e+03	12,00	100,00	304,21	0,86	0,45	0,04	0,00
113	11:00:00	5,28e+03	8,00	100,00	55,73	0,36	0,14	0,05	0,00
121	11:00:00	5,28e+03	8,00	100,00	161,38	1,03	1,01	0,04	0,00
122	11:00:00	5,28e+03	6,00	100,00	78,62	0,89	1,09	0,04	0,00
9	11:00:00	0,00	0,00	1,00	1,77e+03	0,00	-216,73	0,00	0,00
10	12:00:00	1,05e+04	18,00	100,00	1,76e+03	2,22	1,62	0,03	0,00
11	12:00:00	5,28e+03	14,00	100,00	1,15e+03	2,39	2,51	0,03	0,00
12	12:00:00	5,28e+03	10,00	100,00	134,16	0,55	0,24	0,04	0,00
21	12:00:00	5,28e+03	10,00	100,00	169,69	0,69	0,37	0,04	0,00
22	12:00:00	5,28e+03	12,00	100,00	115,84	0,33	0,08	0,05	0,00
31	12:00:00	5,28e+03	6,00	100,00	38,75	0,44	0,29	0,05	0,00
110	12:00:00	200,00	18,00	100,00	657,04	0,83	0,26	0,04	0,00
111	12:00:00	5,28e+03	10,00	100,00	458,44	1,87	2,36	0,04	0,00
112	12:00:00	5,28e+03	12,00	100,00	207,40	0,59	0,22	0,04	0,00
113	12:00:00	5,28e+03	8,00	100,00	34,16	0,22	0,06	0,05	0,00
121	12:00:00	5,28e+03	8,00	100,00	138,75	0,89	0,77	0,04	0,00
122	12:00:00	5,28e+03	6,00	100,00	61,25	0,69	0,68	0,05	0,00
9	12:00:00	0,00	0,00	1,00	1,76e+03	0,00	-218,99	0,00	0,00
10	13:00:00	1,05e+04	18,00	100,00	8,35e-04	1,05e-06	3,16e-12	0,28	0,00
11	13:00:00	5,28e+03	14,00	100,00	358,36	0,75	0,29	0,04	0,00
12	13:00:00	5,28e+03	10,00	100,00	188,57	0,77	0,46	0,04	0,00
21	13:00:00	5,28e+03	10,00	100,00	70,30	0,29	0,07	0,05	0,00
22	13:00:00	5,28e+03	12,00	100,00	61,43	0,17	0,02	0,05	0,00
31	13:00:00	5,28e+03	6,00	100,00	28,67	0,33	0,17	0,05	0,00
110	13:00:00	200,00	18,00	100,00	1,10e+03	1,39	0,68	0,03	0,00
111	13:00:00	5,28e+03	10,00	100,00	208,36	0,85	0,55	0,04	0,00
112	13:00:00	5,28e+03	12,00	100,00	403,07	1,14	0,77	0,04	0,00
113	13:00:00	5,28e+03	8,00	100,00	88,57	0,57	0,33	0,04	0,00
121	13:00:00	5,28e+03	8,00	100,00	128,67	0,82	0,67	0,04	0,00
122	13:00:00	5,28e+03	6,00	100,00	71,33	0,81	0,91	0,04	0,00
9	13:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	14:00:00	1,05e+04	18,00	100,00	8,21e-04	1,04e-06	3,07e-12	0,28	0,00
11	14:00:00	5,28e+03	14,00	100,00	286,69	0,60	0,19	0,04	0,00
12	14:00:00	5,28e+03	10,00	100,00	150,85	0,62	0,30	0,04	0,00
21	14:00:00	5,28e+03	10,00	100,00	56,24	0,23	0,05	0,05	0,00
22	14:00:00	5,28e+03	12,00	100,00	49,15	0,14	0,02	0,05	0,00
31	14:00:00	5,28e+03	6,00	100,00	22,93	0,26	0,11	0,05	0,00
110	14:00:00	200,00	18,00	100,00	880,00	1,11	0,45	0,04	0,00
111	14:00:00	5,28e+03	10,00	100,00	166,69	0,68	0,36	0,04	0,00
112	14:00:00	5,28e+03	12,00	100,00	322,45	0,91	0,51	0,04	0,00
113	14:00:00	5,28e+03	8,00	100,00	70,85	0,45	0,22	0,05	0,00
121	14:00:00	5,28e+03	8,00	100,00	102,93	0,66	0,44	0,04	0,00
122	14:00:00	5,28e+03	6,00	100,00	57,07	0,65	0,60	0,05	0,00
9	14:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	15:00:00	1,05e+04	18,00	100,00	8,02e-04	1,01e-06	2,94e-12	0,28	0,00
11	15:00:00	5,28e+03	14,00	100,00	286,69	0,60	0,19	0,04	0,00
12	15:00:00	5,28e+03	10,00	100,00	150,85	0,62	0,30	0,04	0,00
21	15:00:00	5,28e+03	10,00	100,00	56,24	0,23	0,05	0,05	0,00
22	15:00:00	5,28e+03	12,00	100,00	49,15	0,14	0,02	0,05	0,00
31	15:00:00	5,28e+03	6,00	100,00	22,93	0,26	0,11	0,05	0,00
110	15:00:00	200,00	18,00	100,00	880,00	1,11	0,45	0,04	0,00
111	15:00:00	5,28e+03	10,00	100,00	166,69	0,68	0,36	0,04	0,00
112	15:00:00	5,28e+03	12,00	100,00	322,45	0,91	0,51	0,04	0,00
113	15:00:00	5,28e+03	8,00	100,00	70,85	0,45	0,22	0,05	0,00
121	15:00:00	5,28e+03	8,00	100,00	102,93	0,66	0,44	0,04	0,00
122	15:00:00	5,28e+03	6,00	100,00	57,07	0,65	0,60	0,05	0,00
9	15:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	16:00:00	1,05e+04	18,00	100,00	7,88e-04	9,93e-07	2,84e-12	0,28	0,00
11	16:00:00	5,28e+03	14,00	100,00	215,02	0,45	0,11	0,04	0,00
12	16:00:00	5,28e+03	10,00	100,00	113,14	0,46	0,18	0,04	0,00
21	16:00:00	5,28e+03	10,00	100,00	42,18	0,17	0,03	0,05	0,00
22	16:00:00	5,28e+03	12,00	100,00	36,86	0,10	9,12e-03	0,05	0,00
31	16:00:00	5,28e+03	6,00	100,00	17,20	0,20	0,07	0,06	0,00
110	16:00:00	200,00	18,00	100,00	660,00	0,83	0,26	0,04	0,00
111	16:00:00	5,28e+03	10,00	100,00	125,02	0,51	0,21	0,04	0,00
112	16:00:00	5,28e+03	12,00	100,00	241,84	0,69	0,30	0,04	0,00
113	16:00:00	5,28e+03	8,00	100,00	53,14	0,34	0,13	0,05	0,00
121	16:00:00	5,28e+03	8,00	100,00	77,20	0,49	0,26	0,05	0,00
122	16:00:00	5,28e+03	6,00	100,00	42,80	0,49	0,35	0,05	0,00
9	16:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	17:00:00	1,05e+04	18,00	100,00	7,76e-04	9,79e-07	2,76e-12	0,28	0,00
11	17:00:00	5,28e+03	14,00	100,00	215,02	0,45	0,11	0,04	0,00
12	17:00:00	5,28e+03	10,00	100,00	113,14	0,46	0,18	0,04	0,00
21	17:00:00	5,28e+03	10,00	100,00	42,18	0,17	0,03	0,05	0,00
22	17:00:00	5,28e+03	12,00	100,00	36,86	0,10	9,12e-03	0,05	0,00
31	17:00:00	5,28e+03	6,00	100,00	17,20	0,20	0,07	0,06	0,00
110	17:00:00	200,00	18,00	100,00	660,00	0,83	0,26	0,04	0,00
111	17:00:00	5,28e+03	10,00	100,00	125,02	0,51	0,21	0,04	0,00
112	17:00:00	5,28e+03	12,00	100,00	241,84	0,69	0,30	0,04	0,00
113	17:00:00	5,28e+03	8,00	100,00	53,14	0,34	0,13	0,05	0,00
121	17:00:00	5,28e+03	8,00	100,00	77,20	0,49	0,26	0,05	0,00
122	17:00:00	5,28e+03	6,00	100,00	42,80	0,49	0,35	0,05	0,00
9	17:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	18:00:00	1,05e+04	18,00	100,00	7,68e-04	9,68e-07	2,71e-12	0,28	0,00
11	18:00:00	5,28e+03	14,00	100,00	143,35	0,30	0,05	0,04	0,00
12	18:00:00	5,28e+03	10,00	100,00	75,43	0,31	0,08	0,05	0,00
21	18:00:00	5,28e+03	10,00	100,00	28,12	0,11	0,01	0,05	0,00
22	18:00:00	5,28e+03	12,00	100,00	24,57	0,07	4,31e-03	0,06	0,00
31	18:00:00	5,28e+03	6,00	100,00	11,47	0,13	0,03	0,06	0,00
110	18:00:00	200,00	18,00	100,00	440,00	0,55	0,12	0,04	0,00
111	18:00:00	5,28e+03	10,00	100,00	83,35	0,34	0,10	0,05	0,00
112	18:00:00	5,28e+03	12,00	100,00	161,23	0,46	0,14	0,04	0,00
113	18:00:00	5,28e+03	8,00	100,00	35,43	0,23	0,06	0,05	0,00
121	18:00:00	5,28e+03	8,00	100,00	51,47	0,33	0,12	0,05	0,00
122	18:00:00	5,28e+03	6,00	100,00	28,53	0,32	0,17	0,05	0,00
9	18:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	19:00:00	1,05e+04	18,00	100,00	7,57e-04	9,54e-07	2,63e-12	0,28	0,00
11	19:00:00	5,28e+03	14,00	100,00	143,35	0,30	0,05	0,04	0,00
12	19:00:00	5,28e+03	10,00	100,00	75,43	0,31	0,08	0,05	0,00
21	19:00:00	5,28e+03	10,00	100,00	28,12	0,11	0,01	0,05	0,00
22	19:00:00	5,28e+03	12,00	100,00	24,57	0,07	4,31e-03	0,06	0,00
31	19:00:00	5,28e+03	6,00	100,00	11,47	0,13	0,03	0,06	0,00
110	19:00:00	200,00	18,00	100,00	440,00	0,55	0,12	0,04	0,00
111	19:00:00	5,28e+03	10,00	100,00	83,35	0,34	0,10	0,05	0,00
112	19:00:00	5,28e+03	12,00	100,00	161,23	0,46	0,14	0,04	0,00
113	19:00:00	5,28e+03	8,00	100,00	35,43	0,23	0,06	0,05	0,00
121	19:00:00	5,28e+03	8,00	100,00	51,47	0,33	0,12	0,05	0,00
122	19:00:00	5,28e+03	6,00	100,00	28,53	0,32	0,17	0,05	0,00
9	19:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	20:00:00	1,05e+04	18,00	100,00	7,50e-04	9,45e-07	2,59e-12	0,28	0,00
11	20:00:00	5,28e+03	14,00	100,00	215,02	0,45	0,11	0,04	0,00
12	20:00:00	5,28e+03	10,00	100,00	113,14	0,46	0,18	0,04	0,00
21	20:00:00	5,28e+03	10,00	100,00	42,18	0,17	0,03	0,05	0,00
22	20:00:00	5,28e+03	12,00	100,00	36,86	0,10	9,12e-03	0,05	0,00
31	20:00:00	5,28e+03	6,00	100,00	17,20	0,20	0,07	0,06	0,00
110	20:00:00	200,00	18,00	100,00	660,00	0,83	0,26	0,04	0,00
111	20:00:00	5,28e+03	10,00	100,00	125,02	0,51	0,21	0,04	0,00
112	20:00:00	5,28e+03	12,00	100,00	241,84	0,69	0,30	0,04	0,00
113	20:00:00	5,28e+03	8,00	100,00	53,14	0,34	0,13	0,05	0,00
121	20:00:00	5,28e+03	8,00	100,00	77,20	0,49	0,26	0,05	0,00
122	20:00:00	5,28e+03	6,00	100,00	42,80	0,49	0,35	0,05	0,00
9	20:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	21:00:00	1,05e+04	18,00	100,00	7,36e-04	9,28e-07	2,50e-12	0,28	0,00
11	21:00:00	5,28e+03	14,00	100,00	215,02	0,45	0,11	0,04	0,00
12	21:00:00	5,28e+03	10,00	100,00	113,14	0,46	0,18	0,04	0,00
21	21:00:00	5,28e+03	10,00	100,00	42,18	0,17	0,03	0,05	0,00
22	21:00:00	5,28e+03	12,00	100,00	36,86	0,10	9,12e-03	0,05	0,00
31	21:00:00	5,28e+03	6,00	100,00	17,20	0,20	0,07	0,06	0,00
110	21:00:00	200,00	18,00	100,00	660,00	0,83	0,26	0,04	0,00
111	21:00:00	5,28e+03	10,00	100,00	125,02	0,51	0,21	0,04	0,00
112	21:00:00	5,28e+03	12,00	100,00	241,84	0,69	0,30	0,04	0,00
113	21:00:00	5,28e+03	8,00	100,00	53,14	0,34	0,13	0,05	0,00
121	21:00:00	5,28e+03	8,00	100,00	77,20	0,49	0,26	0,05	0,00
122	21:00:00	5,28e+03	6,00	100,00	42,80	0,49	0,35	0,05	0,00
9	21:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	22:00:00	1,05e+04	18,00	100,00	7,21e-04	9,08e-07	2,41e-12	0,28	0,00
11	22:00:00	5,28e+03	14,00	100,00	286,69	0,60	0,19	0,04	0,00
12	22:00:00	5,28e+03	10,00	100,00	150,85	0,62	0,30	0,04	0,00
21	22:00:00	5,28e+03	10,00	100,00	56,24	0,23	0,05	0,05	0,00
22	22:00:00	5,28e+03	12,00	100,00	49,15	0,14	0,02	0,05	0,00
31	22:00:00	5,28e+03	6,00	100,00	22,93	0,26	0,11	0,05	0,00
110	22:00:00	200,00	18,00	100,00	880,00	1,11	0,45	0,04	0,00
111	22:00:00	5,28e+03	10,00	100,00	166,69	0,68	0,36	0,04	0,00
112	22:00:00	5,28e+03	12,00	100,00	322,45	0,91	0,51	0,04	0,00
113	22:00:00	5,28e+03	8,00	100,00	70,85	0,45	0,22	0,05	0,00
121	22:00:00	5,28e+03	8,00	100,00	102,93	0,66	0,44	0,04	0,00
122	22:00:00	5,28e+03	6,00	100,00	57,07	0,65	0,60	0,05	0,00
9	22:00:00	0,00	0,00	1,00	0,00	0,00	0,00	0,00	0,00
10	23:00:00	1,05e+04	18,00	100,00	1,91e+03	2,41	1,89	0,03	0,00
11	23:00:00	5,28e+03	14,00	100,00	1,31e+03	2,73	3,21	0,03	0,00
12	23:00:00	5,28e+03	10,00	100,00	85,91	0,35	0,11	0,05	0,00
21	23:00:00	5,28e+03	10,00	100,00	235,69	0,96	0,69	0,04	0,00
22	23:00:00	5,28e+03	12,00	100,00	114,09	0,32	0,07	0,05	0,00
31	23:00:00	5,28e+03	6,00	100,00	42,74	0,48	0,35	0,05	0,00
110	23:00:00	200,00	18,00	100,00	1,03e+03	1,30	0,60	0,03	0,00
111	23:00:00	5,28e+03	10,00	100,00	478,43	1,95	2,56	0,04	0,00
112	23:00:00	5,28e+03	12,00	100,00	75,66	0,21	0,03	0,05	0,00
113	23:00:00	5,28e+03	8,00	100,00	5,91	0,04	2,22e-03	0,07	0,00
121	23:00:00	5,28e+03	8,00	100,00	122,74	0,78	0,61	0,04	0,00
122	23:00:00	5,28e+03	6,00	100,00	37,26	0,42	0,27	0,05	0,00
9	23:00:00	0,00	0,00	1,00	1,91e+03	0,00	-198,30	0,00	0,00
10	24:00:00	1,05e+04	18,00	100,00	1,89e+03	2,39	1,86	0,03	0,00
11	24:00:00	5,28e+03	14,00	100,00	1,25e+03	2,61	2,96	0,03	0,00
12	24:00:00	5,28e+03	10,00	100,00	128,19	0,52	0,22	0,04	0,00
21	24:00:00	5,28e+03	10,00	100,00	196,30	0,80	0,49	0,04	0,00
22	24:00:00	5,28e+03	12,00	100,00	121,81	0,35	0,08	0,05	0,00
31	24:00:00	5,28e+03	6,00	100,00	41,33	0,47	0,33	0,05	0,00
110	24:00:00	200,00	18,00	100,00	792,24	1,00	0,37	0,04	0,00
