		ELEVATION	BASEDEMAND	INITQUALITY	PRESSURE	HEAD	DEMAND	QUALITY
10	11:00:00	710,00	0,00	0,50	132,91	1,02e+03	0,00	0,00
11	11:00:00	710,00	150,00	0,50	125,36	999,32	180,00	0,00
12	11:00:00	700,00	150,00	0,50	124,26	986,78	180,00	0,00
13	11:00:00	695,00	100,00	0,50	125,51	984,67	120,00	0,00
21	11:00:00	700,00	150,00	0,50	123,81	985,74	180,00	0,00
22	11:00:00	695,00	200,00	0,50	125,39	984,38	240,00	0,00
23	11:00:00	690,00	150,00	0,50	127,36	983,92	180,00	0,00
31	11:00:00	700,00	100,00	0,50	121,49	980,39	120,00	0,00
32	11:00:00	710,00	100,00	0,50	116,40	978,65	120,00	0,00
9	11:00:00	800,00	0,00	1,00	0,00	800,00	-1,77e+03	0,00
2	11:00:00	850,00	0,00	1,00	59,25	986,75	454,30	0,00
10	12:00:00	710,00	0,00	0,50	133,89	1,02e+03	0,00	0,00
11	12:00:00	710,00	150,00	0,50	126,48	1,00e+03	150,00	0,00
12	12:00:00	700,00	150,00	0,50	125,06	988,62	150,00	0,00
13	12:00:00	695,00	100,00	0,50	126,67	987,34	100,00	0,00
21	12:00:00	700,00	150,00	0,50	125,41	989,42	150,00	0,00
22	12:00:00	695,00	200,00	0,50	126,72	987,44	200,00	0,00
23	12:00:00	690,00	150,00	0,50	128,71	987,04	150,00	0,00
31	12:00:00	700,00	100,00	0,50	123,65	985,38	100,00	0,00
32	12:00:00	710,00	100,00	0,50	118,65	983,83	100,00	0,00
9	12:00:00	800,00	0,00	1,00	0,00	800,00	-1,76e+03	0,00
2	12:00:00	850,00	0,00	1,00	60,04	988,57	657,04	0,00
10	13:00:00	710,00	0,00	0,50	119,73	986,31	0,00	0,00
11	13:00:00	710,00	150,00	0,50	119,73	986,31	150,00	0,00
12	13:00:00	700,00	150,00	0,50	124,73	987,85	150,00	0,00
13	13:00:00	695,00	100,00	0,50	125,85	985,44	100,00	0,00
21	13:00:00	700,00	150,00	0,50	122,81	983,42	150,00	0,00
22	13:00:00	695,00	200,00	0,50	125,14	983,81	200,00	0,00
23	13:00:00	690,00	150,00	0,50	127,25	983,68	150,00	0,00
31	13:00:00	700,00	100,00	0,50	121,28	979,90	100,00	0,00
32	13:00:00	710,00	100,00	0,50	116,57	979,02	100,00	0,00
9	13:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	13:00:00	850,00	0,00	1,00	59,79	987,99	-1,10e+03	0,00
10	14:00:00	710,00	0,00	0,50	118,06	982,48	0,00	0,00
11	14:00:00	710,00	150,00	0,50	118,06	982,48	120,00	0,00
12	14:00:00	700,00	150,00	0,50	122,84	983,49	120,00	0,00
13	14:00:00	695,00	100,00	0,50	124,31	981,90	80,00	0,00
21	14:00:00	700,00	150,00	0,50	121,57	980,56	120,00	0,00
22	14:00:00	695,00	200,00	0,50	123,84	980,82	160,00	0,00
23	14:00:00	690,00	150,00	0,50	125,98	980,73	120,00	0,00
31	14:00:00	700,00	100,00	0,50	120,56	978,23	80,00	0,00
32	14:00:00	710,00	100,00	0,50	115,97	977,65	80,00	0,00
9	14:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	14:00:00	850,00	0,00	1,00	57,88	983,58	-880,00	0,00
10	15:00:00	710,00	0,00	0,50	116,54	978,95	0,00	0,00
11	15:00:00	710,00	150,00	0,50	116,54	978,95	120,00	0,00
12	15:00:00	700,00	150,00	0,50	121,31	979,97	120,00	0,00
13	15:00:00	695,00	100,00	0,50	122,79	978,37	80,00	0,00
21	15:00:00	700,00	150,00	0,50	120,04	977,04	120,00	0,00
22	15:00:00	695,00	200,00	0,50	122,32	977,29	160,00	0,00
23	15:00:00	690,00	150,00	0,50	124,45	977,21	120,00	0,00
31	15:00:00	700,00	100,00	0,50	119,03	974,71	80,00	0,00
32	15:00:00	710,00	100,00	0,50	114,45	974,13	80,00	0,00
9	15:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	15:00:00	850,00	0,00	1,00	56,35	980,06	-880,00	0,00
10	16:00:00	710,00	0,00	0,50	115,21	975,88	0,00	0,00
11	16:00:00	710,00	150,00	0,50	115,21	975,88	90,00	0,00
12	16:00:00	700,00	150,00	0,50	119,80	976,48	90,00	0,00
13	16:00:00	695,00	100,00	0,50	121,56	975,55	60,00	0,00
21	16:00:00	700,00	150,00	0,50	119,05	974,76	90,00	0,00
22	16:00:00	695,00	200,00	0,50	121,29	974,91	120,00	0,00
23	16:00:00	690,00	150,00	0,50	123,43	974,86	90,00	0,00
31	16:00:00	700,00	100,00	0,50	118,46	973,39	60,00	0,00
32	16:00:00	710,00	100,00	0,50	113,98	973,05	60,00	0,00
9	16:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	16:00:00	850,00	0,00	1,00	54,83	976,53	-660,00	0,00
10	17:00:00	710,00	0,00	0,50	114,06	973,24	0,00	0,00
11	17:00:00	710,00	150,00	0,50	114,06	973,24	90,00	0,00
12	17:00:00	700,00	150,00	0,50	118,65	973,84	90,00	0,00
13	17:00:00	695,00	100,00	0,50	120,42	972,90	60,00	0,00
21	17:00:00	700,00	150,00	0,50	117,91	972,12	90,00	0,00
22	17:00:00	695,00	200,00	0,50	120,14	972,27	120,00	0,00
23	17:00:00	690,00	150,00	0,50	122,29	972,22	90,00	0,00
31	17:00:00	700,00	100,00	0,50	117,32	970,75	60,00	0,00
32	17:00:00	710,00	100,00	0,50	112,83	970,41	60,00	0,00
9	17:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	17:00:00	850,00	0,00	1,00	53,68	973,89	-660,00	0,00
10	18:00:00	710,00	0,00	0,50	113,07	970,94	0,00	0,00
11	18:00:00	710,00	150,00	0,50	113,07	970,94	60,00	0,00
12	18:00:00	700,00	150,00	0,50	117,52	971,22	60,00	0,00
13	18:00:00	695,00	100,00	0,50	119,50	970,78	40,00	0,00
21	18:00:00	700,00	150,00	0,50	117,17	970,41	60,00	0,00
22	18:00:00	695,00	200,00	0,50	119,37	970,48	80,00	0,00
23	18:00:00	690,00	150,00	0,50	121,52	970,46	60,00	0,00
31	18:00:00	700,00	100,00	0,50	116,89	969,77	40,00	0,00
32	18:00:00	710,00	100,00	0,50	112,49	969,60	40,00	0,00
9	18:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	18:00:00	850,00	0,00	1,00	52,54	971,25	-440,00	0,00
10	19:00:00	710,00	0,00	0,50	112,30	969,18	0,00	0,00
11	19:00:00	710,00	150,00	0,50	112,30	969,18	60,00	0,00
12	19:00:00	700,00	150,00	0,50	116,76	969,46	60,00	0,00
13	19:00:00	695,00	100,00	0,50	118,73	969,02	40,00	0,00
21	19:00:00	700,00	150,00	0,50	116,41	968,65	60,00	0,00
22	19:00:00	695,00	200,00	0,50	118,60	968,72	80,00	0,00
23	19:00:00	690,00	150,00	0,50	120,76	968,70	60,00	0,00
31	19:00:00	700,00	100,00	0,50	116,13	968,00	40,00	0,00
32	19:00:00	710,00	100,00	0,50	111,72	967,84	40,00	0,00
9	19:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	19:00:00	850,00	0,00	1,00	51,77	969,49	-440,00	0,00
10	20:00:00	710,00	0,00	0,50	111,39	967,07	0,00	0,00
11	20:00:00	710,00	150,00	0,50	111,39	967,07	90,00	0,00
12	20:00:00	700,00	150,00	0,50	115,98	967,67	90,00	0,00
13	20:00:00	695,00	100,00	0,50	117,74	966,74	60,00	0,00
21	20:00:00	700,00	150,00	0,50	115,24	965,95	90,00	0,00
22	20:00:00	695,00	200,00	0,50	117,47	966,10	120,00	0,00
23	20:00:00	690,00	150,00	0,50	119,61	966,05	90,00	0,00
31	20:00:00	700,00	100,00	0,50	114,64	964,58	60,00	0,00
32	20:00:00	710,00	100,00	0,50	110,16	964,24	60,00	0,00
9	20:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	20:00:00	850,00	0,00	1,00	51,01	967,72	-660,00	0,00
10	21:00:00	710,00	0,00	0,50	110,25	964,43	0,00	0,00
11	21:00:00	710,00	150,00	0,50	110,25	964,43	90,00	0,00
12	21:00:00	700,00	150,00	0,50	114,84	965,03	90,00	0,00
13	21:00:00	695,00	100,00	0,50	116,60	964,09	60,00	0,00
21	21:00:00	700,00	150,00	0,50	114,09	963,31	90,00	0,00
22	21:00:00	695,00	200,00	0,50	116,32	963,46	120,00	0,00
23	21:00:00	690,00	150,00	0,50	118,47	963,41	90,00	0,00
31	21:00:00	700,00	100,00	0,50	113,50	961,94	60,00	0,00
32	21:00:00	710,00	100,00	0,50	109,02	961,60	60,00	0,00
9	21:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	21:00:00	850,00	0,00	1,00	49,86	965,08	-660,00	0,00
10	22:00:00	710,00	0,00	0,50	108,90	961,33	0,00	0,00
11	22:00:00	710,00	150,00	0,50	108,90	961,33	120,00	0,00
12	22:00:00	700,00	150,00	0,50	113,67	962,35	120,00	0,00
13	22:00:00	695,00	100,00	0,50	115,15	960,76	80,00	0,00
21	22:00:00	700,00	150,00	0,50	112,41	959,42	120,00	0,00
22	22:00:00	695,00	200,00	0,50	114,68	959,67	160,00	0,00
23	22:00:00	690,00	150,00	0,50	116,81	959,59	120,00	0,00
31	22:00:00	700,00	100,00	0,50	111,40	957,09	80,00	0,00
32	22:00:00	710,00	100,00	0,50	106,81	956,51	80,00	0,00
9	22:00:00	800,00	0,00	1,00	0,00	800,00	0,00	0,00
2	22:00:00	850,00	0,00	1,00	48,72	962,44	-880,00	0,00
10	23:00:00	710,00	0,00	0,50	124,92	998,30	0,00	0,00
11	23:00:00	710,00	150,00	0,50	116,28	978,35	120,00	0,00
12	23:00:00	700,00	150,00	0,50	113,26	961,40	120,00	0,00
13	23:00:00	695,00	100,00	0,50	115,19	960,84	80,00	0,00
21	23:00:00	700,00	150,00	0,50	114,76	964,86	120,00	0,00
22	23:00:00	695,00	200,00	0,50	115,35	961,22	160,00	0,00
23	23:00:00	690,00	150,00	0,50	117,35	960,83	120,00	0,00
31	23:00:00	700,00	100,00	0,50	113,37	961,63	80,00	0,00
32	23:00:00	710,00	100,00	0,50	108,23	959,78	80,00	0,00
9	23:00:00	800,00	0,00	1,00	0,00	800,00	-1,91e+03	0,00
2	23:00:00	850,00	0,00	1,00	48,22	961,28	1,03e+03	0,00
10	24:00:00	710,00	0,00	0,50	125,97	1,00e+03	0,00	0,00
11	24:00:00	710,00	150,00	0,50	117,47	981,10	150,00	0,00
12	24:00:00	700,00	150,00	0,50	115,03	965,48	150,00	0,00
13	24:00:00	695,00	100,00	0,50	116,69	964,30	100,00	0,00
21	24:00:00	700,00	150,00	0,50	115,74	967,12	150,00	0,00
22	24:00:00	695,00	200,00	0,50	116,79	964,53	200,00	0,00
23	24:00:00	690,00	150,00	0,50	118,76	964,09	150,00	0,00
31	24:00:00	700,00	100,00	0,50	113,93	962,94	100,00	0,00
32	24:00:00	710,00	100,00	0,50	108,84	961,19	100,00	0,00
9	24:00:00	800,00	0,00	1,00	0,00	800,00	-1,89e+03	0,00
2	24:00:00	850,00	0,00	1,00	50,00	965,40	792,24	0,00
